algorithm,seed,timestep,episode_return_mean
IPPO,0,4096,-2738.567325169994
IPPO,0,12288,-2579.20180432937
IPPO,0,24576,-2569.0473064334587
IPPO,0,32768,-2594.104770000218
IPPO,0,45056,-2522.042828682059
IPPO,0,53248,-2548.985595381722
IPPO,0,65536,-2535.3651550502104
IPPO,0,73728,-2545.7686611393674
IPPO,0,86016,-2539.1124533462626
IPPO,0,94208,-2540.22346738708
IPPO,0,106496,-2544.0962231303506
IPPO,0,114688,-2509.967176022268
IPPO,0,126976,-2531.037496643974
IPPO,0,135168,-2506.3413400234363
IPPO,0,147456,-2545.2474336463083
IPPO,0,155648,-2547.691286751035
IPPO,0,167936,-2555.0732476703074
IPPO,0,176128,-2550.29147954076
IPPO,0,188416,-2553.704439760458
IPPO,0,196608,-2570.72786833539
IPPO,0,208896,-2542.5269586375844
IPPO,0,217088,-2580.874776701654
IPPO,0,229376,-2567.0298576041964
IPPO,0,237568,-2582.474293430038
IPPO,0,249856,-2561.470472123554
IPPO,0,258048,-2567.0323870097045
IPPO,0,270336,-2590.520122037742
IPPO,0,278528,-2577.736099705772
IPPO,0,290816,-2623.6601519799965
IPPO,0,299008,-2580.3060711156822
IPPO,0,311296,-2578.1967366831686
IPPO,0,319488,-2584.9671971101484
IPPO,0,331776,-2653.280386638344
IPPO,0,339968,-2639.8031531694164
IPPO,0,352256,-2611.722485667241
IPPO,0,360448,-2623.431562147972
IPPO,0,372736,-2621.671221291251
IPPO,0,380928,-2616.316068744184
IPPO,0,393216,-2567.0236078319526
IPPO,0,401408,-2561.751766054291
IPPO,0,413696,-2553.425479214783
IPPO,0,421888,-2535.5083394918283
IPPO,0,434176,-2603.5137652893104
IPPO,0,442368,-2517.2745685608097
IPPO,0,454656,-2616.0752698117226
IPPO,0,462848,-2629.6556136264985
IPPO,0,475136,-2627.861643845122
IPPO,0,483328,-2510.6376542024223
IPPO,0,495616,-2508.2160668516503
IPPO,0,503808,-2515.9817293796414
IPPO,0,516096,-2526.137602915867
IPPO,0,524288,-2522.2927522183686
IPPO,0,536576,-2610.1984507906304
IPPO,0,544768,-2510.104614260834
IPPO,0,557056,-2601.574277271153
IPPO,0,565248,-2596.023807980254
IPPO,0,577536,-2500.1782045145983
IPPO,0,585728,-2508.779491781533
IPPO,0,598016,-2569.742847348069
IPPO,0,606208,-2561.555491315012
IPPO,0,618496,-2529.9940648054144
IPPO,0,626688,-2525.6931102635285
IPPO,0,638976,-2529.580610256318
IPPO,0,647168,-2561.817274312479
IPPO,0,659456,-2513.592391249367
IPPO,0,667648,-2513.2502333334146
IPPO,0,679936,-2534.303465135164
IPPO,0,688128,-2473.888586876834
IPPO,0,700416,-2464.679275842402
IPPO,0,708608,-2549.354566820285
IPPO,0,720896,-2531.190342385654
IPPO,0,729088,-2440.646820617329
IPPO,0,741376,-2533.488101103462
IPPO,0,749568,-2445.478813428549
IPPO,0,761856,-2537.481314812609
IPPO,0,770048,-2539.4113898828464
IPPO,0,782336,-2411.716349799685
IPPO,0,790528,-2418.5855962137807
IPPO,0,802816,-2390.1241787286485
IPPO,0,811008,-2539.865667133656
IPPO,0,823296,-2554.7755624363185
IPPO,0,831488,-2400.2706392266155
IPPO,0,843776,-2382.386430335304
IPPO,0,851968,-2575.9510120732893
IPPO,0,864256,-2608.5678603174088
IPPO,0,872448,-2617.077227343432
IPPO,0,884736,-2376.9740135077263
IPPO,0,892928,-2375.7909588056923
IPPO,0,905216,-2656.6461688831164
IPPO,0,913408,-2654.369304171988
IPPO,0,925696,-2381.826051854862
IPPO,0,933888,-2378.4647800243
IPPO,0,946176,-2380.212114903126
IPPO,0,954368,-2676.180416751676
IPPO,0,966656,-2673.0272942073248
IPPO,0,974848,-2384.322742444975
IPPO,0,987136,-2383.358053172916
IPPO,0,995328,-2380.69226914006
IPPO,0,1007616,-2697.3125398465927
IPPO,0,1015808,-2359.8491815763955
IPPO,0,1028096,-2702.492479566697
IPPO,0,1036288,-2711.140664347611
