algorithm,seed,timestep,reward
MAPPO,0,10000,-1653.3988986602023
MAPPO,0,20000,-1588.9501335382845
MAPPO,0,30000,-1515.774732235834
MAPPO,0,40000,-1750.5782997531685
MAPPO,0,50000,-1364.6641315554425
MAPPO,0,60000,-1656.4901065972454
MAPPO,0,70000,-1357.994534107664
MAPPO,0,80000,-1709.15846079111
MAPPO,0,90000,-1453.5591107286357
MAPPO,0,100000,-1522.259928249705
MAPPO,0,110000,-1617.4726624443226
MAPPO,0,120000,-1652.1520861546253
MAPPO,0,130000,-1611.5389201425671
MAPPO,0,140000,-1491.300473708235
MAPPO,0,150000,-1601.6723635357198
MAPPO,0,160000,-1482.898449002555
MAPPO,0,170000,-1666.723850346532
MAPPO,0,180000,-1420.3883633402909
MAPPO,0,190000,-1197.319768646447
MAPPO,0,200000,-1484.5146489742365
MAPPO,0,210000,-1666.9895706883735
MAPPO,0,220000,-1557.4222804711092
MAPPO,0,230000,-1512.2230611604264
MAPPO,0,240000,-1514.4531533627385
MAPPO,0,250000,-1514.5022169274278
MAPPO,0,260000,-1558.59453909251
MAPPO,0,270000,-1724.0522491573263
MAPPO,0,280000,-1620.939286451204
MAPPO,0,290000,-1458.858152964977
MAPPO,0,300000,-1545.7921562216022
MAPPO,0,310000,-1337.5831896575291
MAPPO,0,320000,-1716.603207061032
MAPPO,0,330000,-1361.7946432318554
MAPPO,0,340000,-1319.3294109681542
MAPPO,0,350000,-1590.9934478508856
MAPPO,0,360000,-1383.3486565273524
MAPPO,0,370000,-1483.63676139014
MAPPO,0,380000,-1635.245402858522
MAPPO,0,390000,-1750.8841370539878
MAPPO,0,400000,-1279.0926372730655
MAPPO,0,410000,-1443.500737697349
MAPPO,0,420000,-1644.726680340332
MAPPO,0,430000,-1540.5807162840758
MAPPO,0,440000,-1449.3345724485105
MAPPO,0,450000,-1481.718694470949
MAPPO,0,460000,-1295.7441915486172
MAPPO,0,470000,-1490.9225038079965
MAPPO,0,480000,-1389.727910096578
MAPPO,0,490000,-1369.5141350327272
MAPPO,0,500000,-1490.385396907284
MAPPO,0,510000,-1372.6445370056497
MAPPO,0,520000,-1447.235899245547
MAPPO,0,530000,-1347.5785059867208
MAPPO,0,540000,-1419.8741693808988
MAPPO,0,550000,-1455.8365529484608
MAPPO,0,560000,-1438.645313869466
MAPPO,0,570000,-1612.81065369379
MAPPO,0,580000,-1408.4135343467426
MAPPO,0,590000,-1490.66666636207
MAPPO,0,600000,-1266.706228381028
MAPPO,0,610000,-1322.8628299372583
MAPPO,0,620000,-1302.121253049875
MAPPO,0,630000,-1344.1908199412317
MAPPO,0,640000,-1514.3967283598013
MAPPO,0,650000,-1380.9061091348203
MAPPO,0,660000,-1207.6443670406784
MAPPO,0,670000,-1472.822261264383
MAPPO,0,680000,-1505.8807710604794
MAPPO,0,690000,-1661.2201665277903
MAPPO,0,700000,-1640.950817449435
MAPPO,0,710000,-1469.3590796080568
MAPPO,0,720000,-1422.5360992417577
MAPPO,0,730000,-1368.8445370759384
MAPPO,0,740000,-1584.6527137451872
MAPPO,0,750000,-1540.2307264110711
MAPPO,0,760000,-1601.9927904078
MAPPO,0,770000,-1415.6097587863303
MAPPO,0,780000,-1391.2057851335414
MAPPO,0,790000,-1468.4274351878707
MAPPO,0,800000,-1321.5719310999527
MAPPO,0,810000,-1302.3083026665056
MAPPO,0,820000,-1322.944555544145
MAPPO,0,830000,-1332.594262890847
MAPPO,0,840000,-1239.0409004685655
MAPPO,0,850000,-1500.2461590136568
MAPPO,0,860000,-1216.423893762235
MAPPO,0,870000,-1329.374007490787
MAPPO,0,880000,-1369.6452829789584
MAPPO,0,890000,-1327.4739718822973
MAPPO,0,900000,-1282.7438413734772
MAPPO,0,910000,-1285.7298988857044
MAPPO,0,920000,-1292.7175428476894
MAPPO,0,930000,-1285.6555723279837
MAPPO,0,940000,-1358.70565630808
MAPPO,0,950000,-1410.466160487992
MAPPO,0,960000,-1397.078310001663
MAPPO,0,970000,-1287.4261923366344
MAPPO,0,980000,-1213.9095363188392
MAPPO,0,990000,-1429.7794944818534
MAPPO,0,1000000,-1250.370477639748
MAPPO,0,1010000,-1527.241096836173
MAPPO,0,1020000,-1329.1040354428342
MAPPO,0,1030000,-1287.9751850169137
MAPPO,0,1040000,-1249.9880365497577
MAPPO,0,1050000,-1175.3110137291842
MAPPO,0,1060000,-1355.5050242922048
MAPPO,0,1070000,-1323.8714740824848
MAPPO,0,1080000,-1201.2717144115425
MAPPO,0,1090000,-1404.4402760979729
MAPPO,0,1100000,-1188.8447224699298
MAPPO,0,1110000,-1248.948202044606
MAPPO,0,1120000,-1331.6309157120222
MAPPO,0,1130000,-1388.9897871167905
MAPPO,0,1140000,-1346.2080761135448
MAPPO,0,1150000,-1313.3626848004562
MAPPO,0,1160000,-1371.9767266281403
MAPPO,0,1170000,-1458.6146220505734
MAPPO,0,1180000,-1373.4227216145011
MAPPO,0,1190000,-1282.1365517078418
MAPPO,0,1200000,-1333.2102268313122
MAPPO,0,1210000,-1431.404180236719
MAPPO,0,1220000,-1264.437925099298
MAPPO,0,1230000,-1259.4164035764006
MAPPO,0,1240000,-1335.4441314072055
MAPPO,0,1250000,-1339.2121628019577
MAPPO,0,1260000,-1475.205968494639
MAPPO,0,1270000,-1377.992959550735
MAPPO,0,1280000,-1249.4127489547232
MAPPO,0,1290000,-1271.8082865213612
MAPPO,0,1300000,-1193.1030246918388
MAPPO,0,1310000,-1316.3270522063744
MAPPO,0,1320000,-1224.6475632277234
MAPPO,0,1330000,-1234.5066831213155
MAPPO,0,1340000,-1176.9764915482624
MAPPO,0,1350000,-1405.9494368024946
MAPPO,0,1360000,-1321.369359129147
MAPPO,0,1370000,-1277.9567533854197
MAPPO,0,1380000,-1194.002641102148
MAPPO,0,1390000,-1239.630834001709
MAPPO,0,1400000,-1293.3330145287418
MAPPO,0,1410000,-1151.9819009773362
MAPPO,0,1420000,-1184.0078743549084
MAPPO,0,1430000,-1251.4718502746257
MAPPO,0,1440000,-1220.0848241933018
MAPPO,0,1450000,-1360.3271981870134
MAPPO,0,1460000,-1267.6904926537304
MAPPO,0,1470000,-1290.2543707324992
MAPPO,0,1480000,-1246.1043784466794
MAPPO,0,1490000,-1269.273059083312
MAPPO,0,1500000,-1466.590879612543
MAPPO,0,1510000,-1213.6970366586984
MAPPO,0,1520000,-1224.5822555720404
MAPPO,0,1530000,-1315.8754095882505
MAPPO,0,1540000,-1235.9431160821923
MAPPO,0,1550000,-1212.9422353295206
MAPPO,0,1560000,-1393.2427396637113
MAPPO,0,1570000,-1052.3774845008936
MAPPO,0,1580000,-1199.792884994152
MAPPO,0,1590000,-1365.8181754879522
MAPPO,0,1600000,-1252.8552756522522
MAPPO,0,1610000,-1312.794323279994
MAPPO,0,1620000,-1135.1443616671468
MAPPO,0,1630000,-1216.6809175298604
MAPPO,0,1640000,-1205.212262712325
MAPPO,0,1650000,-1248.7718183372592
MAPPO,0,1660000,-1172.65883314154
MAPPO,0,1670000,-1201.2910448151476
MAPPO,0,1680000,-1271.3404111091177
MAPPO,0,1690000,-953.962953729211
MAPPO,0,1700000,-1258.6404681154431
MAPPO,0,1710000,-1118.836516365731
MAPPO,0,1720000,-1128.8861543347227
MAPPO,0,1730000,-1275.8110905909275
MAPPO,0,1740000,-1292.2598720153208
MAPPO,0,1750000,-1248.865655075423
MAPPO,0,1760000,-1086.7440724893868
MAPPO,0,1770000,-1219.174194693716
MAPPO,0,1780000,-1067.5395698466366
MAPPO,0,1790000,-1161.1899820064236
MAPPO,0,1800000,-1347.7524408031743
MAPPO,0,1810000,-1060.2268463175667
MAPPO,0,1820000,-1362.2741094026555
MAPPO,0,1830000,-1290.741678055425
MAPPO,0,1840000,-1264.5294259903346
MAPPO,0,1850000,-1206.5248361939914
MAPPO,0,1860000,-1244.2232975360475
MAPPO,0,1870000,-1194.9181316307986
MAPPO,0,1880000,-1186.2512229998454
MAPPO,0,1890000,-1184.9759189946649
MAPPO,0,1900000,-1329.9274734586677
MAPPO,0,1910000,-1298.1699273323616
MAPPO,0,1920000,-1219.7657132808213
MAPPO,0,1930000,-1324.4592643735496
MAPPO,0,1940000,-1222.389089335017
MAPPO,0,1950000,-1146.1649699370894
MAPPO,0,1960000,-1236.8873649240604
MAPPO,0,1970000,-1174.4533477871837
MAPPO,0,1980000,-1097.4558943649088
MAPPO,0,1990000,-1372.0417336027765
MAPPO,0,2000000,-1167.4955047662409
MAPPO,0,2010000,-1181.6993036162269
MAPPO,0,2020000,-1236.4835611733506
MAPPO,0,2030000,-1351.2115616181784
MAPPO,0,2040000,-1192.8082233077466
MAPPO,0,2050000,-1171.8090727012016
MAPPO,0,2060000,-1301.590583600443
MAPPO,0,2070000,-1094.5754618036776
MAPPO,0,2080000,-1269.1885816229203
MAPPO,0,2090000,-1315.3716874198185
MAPPO,0,2100000,-1331.3401480699
MAPPO,0,2110000,-1240.3824518905135
MAPPO,0,2120000,-1283.6922801543217
MAPPO,0,2130000,-1405.0674521123478
MAPPO,0,2140000,-1207.752028867974
MAPPO,0,2150000,-1316.136680516177
MAPPO,0,2160000,-1279.7327749804306
MAPPO,0,2170000,-1239.3619132571423
MAPPO,0,2180000,-1143.7308704624522
MAPPO,0,2190000,-1004.6686503427536
MAPPO,0,2200000,-1247.6801697394392
MAPPO,0,2210000,-1263.3977783441494
MAPPO,0,2220000,-1111.3679283653348
MAPPO,0,2230000,-1175.053648986099
